company_name,name,title,linkedin_url,location,about,estimated_age,extraction_date,experience_1_title,experience_1_company,experience_2_title,experience_2_company,experience_3_title,experience_3_company,education_1_school,education_1_degree,education_2_school,education_2_degree,skill_1,skill_2,skill_3,skill_4,skill_5,media_mentions_count,awards_and_recognitions,speaking_engagements,social_media_followers,thought_leadership_score,overall_sentiment,companies_founded,investment_activities,board_positions,notable_achievements,l_level,reasoning,confidence_score
Motive,Obaid Khan,Founder,https://www.linkedin.com/in/obaid-khan-b77b4357,"San Francisco, California, United States",,,,Motive,12 yrs 6 mos,,,,,UC San Diego,"Bachelor's degree, Political Science and Government",,,,,,,,2,,,0,5.0,neutral,,,,"Led a merger feasibility study between two national broadcasting organisations in Pakistan, resulting in a report presented to the Federal Minister of Information and Broadcasting and tabled for review by the Cabinet and Prime Minister of Pakistan; Selected as part of the only team to represent Rotman at the John Molson MBA International Case Competition",L5,"Obaid Khan has demonstrated significant entrepreneurial success as the founder of Motive (formerly KeepTruckin), which he has led for over 12 years. The company has achieved unicorn status with a valuation over $2.85B, raised over $450M in funding, and grown to serve over 120,000 customers. Under his leadership, Motive has become a major player in the fleet management and IoT space, showing clear evidence of scaling ability and market impact. While this could potentially qualify for L6, a conservative classification of L5 is more appropriate without evidence of multiple ventures or major exits.",0.68
Motive,Shoaib Makani,Founder and CEO at Motive,https://www.linkedin.com/in/smakani,San Francisco Bay Area,,40,,Co-founder and CEO,Motive,Investor,Khosla Ventures,Growth,AdMob,The London School of Economics and Political Science (LSE),BSc,Texas Academy of Mathematics and Science,,Mobile Devices,Start-ups,Marketing,Mobile Applications,Mobile Advertising,5,,,0,8.0,positive,,,,"Co-founded and led Motive Technologies, Inc. (formerly KeepTruckin) as CEO since 2013, transforming it into a key player in transportation, logistics, and construction",L6,"Shoaib Makani has demonstrated exceptional success as founder and CEO of Motive (formerly KeepTruckin), scaling it to unicorn status with a $2.85B valuation. He has led the company through multiple large funding rounds, built a team of over 2,000 employees, and transformed the logistics technology industry. Prior to Motive, he had strong operational experience at Khosla Ventures and Google, showing a pattern of high-impact roles at prestigious organizations. The company's growth, valuation, and market impact place him solidly in the Market Innovator category.",0.68
Motive,Max Fleming,"Founder & CEO, Motive | Advisor | Investor | Teammate to the Leading Personalities in New Media",https://www.linkedin.com/in/maxflem,"Los Angeles, California, United States","Building Motive and managing the brightest personalities in multiple forms of new media.
Proud Fiancé, dog dad, lover of life, weekend golfer, and die-hard Patriots, Celtics, Red Sox, and Bruins fan.",28,,Founder & CEO,Motive · Full-time,"Manager, Sports & Digital",Underscore Talent Management · Full-time,"Agent, Sports & Digital",Buchwald · Full-time,University of Hartford,"Bachelor of Science in Business Administration (B.S.B.A.), Managerial Economics, Corporate Finance",,,Digital Media,Marketing Strategy,Marketing,Social Media Marketing,Client Relations,2,,,2657,6.0,positive,,,,Shortlisted for Apprentice of the Year award at the 2025 Made in Manchester Awards (MiMA); Established Motive as a unique sports marketing and talent management firm,L1,"Based on the available information, Max Fleming appears to be a first-time founder with limited prior professional experience. While he's currently leading Motive as Founder & CEO, there's no clear evidence of previous startup experience, major exits, or significant operational roles at scale. His educational background in Business Administration from University of Hartford and current focus on new media talent management suggests he's in the early stages of his entrepreneurial journey. The profile indicates this is his first founder role, placing him squarely in the L1 category as a nascent founder with potential.",0.60
Motive,Brendan Smith,5x Inc.500 Founder » Entrepreneur » Creator » Domainer » Investor,https://www.linkedin.com/in/motive,"Stateline, Nevada, United States","Vision •  Inspiration • Execution

Motive Interactive -  5x Inc.500/5000 Fastest Growing Ad Tech Company

Brand Divine · Unique Brandable Domains for Startups

The Raw Botanics Co. - Natural Wellness Truth Teller, Consumer Advocate, and Disrupter",48,,Chief Executive Officer,Motive · Full-time,Founder and Managing Director,Brand Divine · Full-time,Founder and Managing Director,The Raw Botanics Co. · Full-time,West Virginia University,,,,Ad Tech,Domain Name System (DNS),Branding,Branding & Identity,Brand Development,4,"CEO Achievement of the Year - CEO World Awards 2018; Silver Stevie Awards - Company of the Year, Entrepreneur of the Year, Executive of the Year 2018; Inc. 5000 Hall of Fame for fastest-growing private firms (5 consecutive years); Top Growth Partner in the 2025 Singular ROI Index",Public recognition speeches at award ceremonies,,8.0,positive,,,,Active insider trading with multiple transactions from 2021 to 2023,L4,"The founder shows evidence of successful company building with Motive Interactive making the Inc. 5000 list multiple times, indicating sustained growth and revenue performance. The 5x appearance on Inc. 500/5000 suggests consistent operational execution and scaling ability. However, while impressive, there's no clear evidence of major exits >$100M or unicorn-level valuations that would qualify for higher levels. The founder has demonstrated ability to build and scale a profitable company in the ad tech space, along with launching additional ventures (Raw Botanics, Brand Divine), showing serial entrepreneurship characteristics typical of L4 operators.",0.56
SentinelOne,Almog Cohen,Gentleman Farmer,https://il.linkedin.com/in/almog-cohen-5758b823,Israel,,41,,"CTO, Co-Founder",SentinelOne,Security Expert,Check Point Software Technologies,,,,,,,IPS,,,,,4,,,0,5.0,neutral,,,,"Co-founded SentinelOne, a leading cybersecurity company",L8,"Almog Cohen co-founded SentinelOne, which has achieved unicorn status and successfully went public (IPO in 2021). The company has reached a multi-billion dollar valuation and is a leader in the cybersecurity space. As CTO and co-founder, Cohen played a crucial technical leadership role in building a company that transformed the endpoint security market. SentinelOne's successful IPO and continued growth as a public company demonstrates proven ability to build and scale a unicorn-level enterprise.",0.68
SentinelOne,Tomer Weingarten,Co-founder / CEO at SentinelOne,https://www.linkedin.com/in/tomer-weingarten,"Mountain View, California, United States",,34,,Co-founder / CEO,SentinelOne Inc.,Member Board of Trustees,Palo Alto University,Board Observer,Laminar,,,,,Product Management,Project Management,Software Development,Entrepreneurship,Market Research,4,,Interview with CNBC Squawk Box on Q1 earnings and cybersecurity sector; Exclusive interview with Nasdaq about SentinelOne's growth and IPO journey; Interview with CRN discussing AI agents and cybersecurity technology; Keynote speech at OneCon 2024 outlining SentinelOne's vision,,8.0,positive,,,,Co-founder and CEO of SentinelOne since 2013; Chairman of the Board of SentinelOne since 2021; Member of Forbes Technology Council since 2019; Helped scale Saviynt as a board member,L8,"Tomer Weingarten has demonstrated exceptional success as co-founder and CEO of SentinelOne, leading the company from founding through IPO and building it into a multi-billion dollar cybersecurity leader. The company's successful IPO in 2021 raised $1.2B at a $10B valuation, making it one of the largest cybersecurity IPOs in history. Under his leadership, SentinelOne has grown to over 2,000 employees and achieved significant market penetration in the endpoint security market, competing directly with established players like CrowdStrike.",0.76
6sense,Amanda Kahlow,Human CEO & Founder @1mind.   Founder & former CEO 6sense.  We are super humans building Superhumans.,https://www.linkedin.com/in/amandakahlow,"Mill Valley, California, United States","Amanda Kahlow is a confident, brave, positive, passionate, and spiritual individual with an abundance of energy, love, empathy, and enthusiasm for life.

Amanda is a serial entrepreneur. She is the founder and former CEO of 6sense.  She started her first company at 21 and is now working on her next AI venture. 

Amanda is an eternal optimist with a healthy dose of skepticism and curiosity, always seeking purpose and new ideas. She is dedicated to creating a different kind of Silicon Valley startup, emphasizing passion, discipline, integrity, and accountability while leading with compassion.

Amanda is focused on giving back both personally and professionally. Years ago she got clear her personal mission statement ""I am a passionate positive spiritual warrior to EMPOWER women and girls.""    She uses her aptitude for humanistic motivational speaking to share her story every chance she can to inspire others. She is an advisor to the organization, Girl Rising.  Amanda is committed to their mission to educate girls in developing countries  as a way to build thriving, prosperous, healthy communities and effect positive social change.",48,,Human CEO & Founder,1mind · Full-time,Director Board Of Directors,MAHA Global · Contract,"CEO & Founder, Exec Chairman",6sense · Full-time,University of Colorado Boulder,,,,Digital Marketing,Interactive Marketing,Adobe Insight,Predictive Analytics,Predictive Modeling,4,,,0,7.0,positive,,,,"Founded and led 6sense, a predictive analytics company for B2B marketing; Recognized as a female founder and CEO to watch in business software",L7,"Amanda Kahlow demonstrates the profile of an elite serial entrepreneur based on multiple verified achievements. As founder and CEO of 6sense, she built a significant enterprise AI company that reached unicorn status ($2.1B valuation). She has a proven track record starting from age 21 with her first company, successfully built and exited 6sense, and is now working on her next AI venture (1mind). The combination of multiple companies, major valuations, and successful leadership transitions indicates L7 classification.",0.68
6sense,Premal Shah,Know everything Do anything ,https://www.linkedin.com/in/premaljshah,United States,"6sense is hiring Software Engineers, Data Scientists, Infrastructure and Security Engineers and Data Analysts. Head over to https://6sense.com/about-us/careers-and-culture/#opportunities to apply.",44,,6sense,11 yrs 10 mos,Co-Founder,GrepData,Livingly Media,6 yrs 8 mos,University of Southern California,"Masters, Computer Science",Ramrao Adik Institute of Technology,"BE, Computer Engineering",Python,MySQL,Databases,Django,Analytics,3,,Guest on 'How We Made That App' podcast series discussing 6sense and intent data; Featured in 'How We Made That App' Episode 6 discussing data and AI evolution at 6sense,,6.0,positive,,,,"Co-founded Kiva, a global poverty alleviation non-profit that has raised over $2 billion for low-income entrepreneurs in 80 countries; Kiva has a 96% repayment rate and significant impact in microfinance; Part of the PayPal Mafia, early employee and principal product manager at PayPal",L4,"Premal Shah has demonstrated significant operational experience at 6sense, a notable AI-powered revenue intelligence platform that has achieved unicorn status. While not a founder, his long-term senior technical leadership (nearly 12 years) at a successful B2B SaaS company that has raised significant funding and achieved strong market position indicates proven operational capabilities. His Masters in Computer Science from USC and sustained leadership through 6sense's growth phases suggest strong technical and management expertise.",0.60
6sense,Jason Zintak,CEO at 6sense,https://www.linkedin.com/in/jasonzintak,"San Francisco, California, United States","As CEO of 6sense, Jason Zintak leads the company’s mission to help customers revolutionize revenue creation. Leveraging AI and data-driven intelligence, 6sense answers profound questions every B2B sales and marketing teams face like, which accounts are most likely to buy, who should we reach out to, and what should we say to engage?   

Since Jason joined 6sense in 2017, the company has grown significantly by every measure, including increasing revenue from $5MM to $200MM+ ARR. Under Jason’s leadership, 6sense has been recognized for market-defining technology by Forbes Cloud 100, Inc. 5000, Deloitte Fast 500, Forbes AI50, Financial Times, Gartner, Forrester, and customer review platforms G2 and TrustRadius. The company has received recognition for its strong culture by Fortune and Inc. Magazine. Jason has also been honored by Goldman Sachs as one of the Most Exceptional Entrepreneurs of 2023.  

These accolades result from Jason's focus on making smart moves, prioritizing people, and creating a culture of innovation where every employee is inspired to challenge the status quo and create a better future.  

Jason is a proven leader with a winning record of excellence in scaling marketing and sales organizations in growth-stage B2B software companies. Over the past 23 years, Jason has helped establish disruptive platforms in marketing technology, ERP, CRM, and supply chain. Most recently, he was CEO of Platfora, a leader in big data analytics, which was acquired by Workday in 2016. Prior to that, he was CRO at Responsys, which was acquired by Oracle in 2013 for $1.5B, and EVP of worldwide sales and marketing for JDA Software (now Blue Yonder). He also spent eight years at SAP, where he served in various sales and leadership roles spanning multiple technology categories and industry verticals.  

When asked, Jason will tell you that he's most proud of co-founding an incredible family alongside is wife.",55,,CEO,6sense,Advisor,Ramp,Board Member,Glia,Syracuse University,"BA Double Major, Advertising and Psychology",,,,,,,,4,,"Podcast interview on Digital Doughnut discussing 6sense's growth and AI-driven sales intelligence[1]; Featured on the c-suite podcast discussing leadership, scaling, and company culture[2][4]; Guest on C-Suite Conversations (FranklinCovey) sharing insights on hypergrowth, AI, and leadership[3]; Interviewed on EO Podcast discussing strategies for B2B sales and marketing success[5]",0,7.0,positive,,,,Led 6sense to significant growth and recognition as a leader in AI-driven B2B sales and marketing intelligence; Honored by Goldman Sachs as one of the Most Exceptional Entrepreneurs of 2023 and 2024,L6,"Jason Zintak demonstrates a strong track record of scaling multiple high-growth companies and achieving significant exits. As CEO of 6sense, he has led exceptional growth from $5M to $200M+ ARR. His prior roles include successful exits as CEO of Platfora (acquired by Workday) and CRO at Responsys ($1.5B Oracle acquisition). His 23-year career shows consistent pattern of scaling B2B software companies and driving major outcomes. While he hasn't founded multiple unicorns (which would qualify for L7), his demonstrated ability to scale companies and achieve exits, combined with recognition as an exceptional entrepreneur by Goldman Sachs, places him solidly at L6 as a Market Innovator and proven leader.",0.68
Exabeam,Domingo Mihovilovic,Serial Entrepreneur - Retired.,https://www.linkedin.com/in/mihovilovic,"Windermere, Florida, United States","Until October 2021, I was co-founder and CTO of Exabeam, a cybersecurity company that created a new analytics approach using machine learning and Big Data to detect cyber attacks. Grew the company to around 700 employees, similar number of enterprise customers, and $2.5 billion company valuation. Exabeam is in the leading position in the SIEM Magic Gartner quadrant and continues to thrive in its next phase of growth.

Before Exabeam, I built and led engineering teams in other 4 startups companies, and also at Siebel Systems, a very fast growth enterprise company.

My passion has always been to create teams, products/services, and companies in new spaces/markets that are possible because of new enabling technologies.

Specialties: Security, Cloud Computing, Mobile, Software as a Service (SaaS), Software Infrastructure and Platforms, Distributed Systems, Big Data, Wireless, Software Development and Processes, Scalable Systems, RFID, Electrical Engineering, Digital Systems, Embedded Systems.",54,,Co-founder and CTO,"Exabeam, Inc.","Founding Vice President, Engineering",Sumo Logic,"Vice President, Engineering",SugarSync,Stanford University,"Ph.D. Electrical Engineering, Digital Image Processing, Digital Signal Processing",Stanford University,"M.S. Computer Science, Systems",Cloud Computing,Scalability,Wireless,Software Development,Distributed Systems,4,,,0,5.0,neutral,,,,"Co-founder of Exabeam, a cybersecurity company valued at over $2 billion; Contributed to the development of cybersecurity startup ecosystem",L6,"Domingo Mihovilovic demonstrates clear evidence of being a Market Innovator and Thought Leader based on several key factors: 1) He co-founded and served as CTO of Exabeam, scaling it to a $2.5B valuation and 700 employees, 2) Created a new analytics approach using machine learning for cyber security that positioned the company as a leader in Gartner's Magic Quadrant, 3) Has a PhD from Stanford in Electrical Engineering, and 4) Has led engineering teams at multiple startups plus Siebel Systems. The combination of technical innovation, market leadership, and successful scaling places him solidly at L6. While impressive, he doesn't quite reach L7 as there isn't clear evidence of multiple $100M+ exits or multiple unicorn companies.",0.68
Exabeam,Nir Polak,Security Entrepreneur | Company Builder | Investor | Board Member,https://www.linkedin.com/in/nir-polak-1564934,San Francisco Bay Area,"With over 18 years of experience in the cybersecurity field, they are a venture partner at SignalFire, a data-driven venture capital firm that invests in early-stage technology companies. They are also an investor and board member at Dig Security, a cloud-based security platform that automates threat detection and response. Additionally, they are the co-founder and chairman of the board at Exabeam, a leading provider of user and entity behavior analytics solutions. They have multiple skills in start-up environment, strategic partnerships, and start-ups, and they have a passion for building innovative and scalable products that solve complex security challenges. They are driven by the mission of empowering security teams with the best tools and insights to protect their organizations and customers. They bring diverse perspectives and experiences to the cybersecurity industry, and they value collaboration, creativity, and customer satisfaction.",43,,Builder,WhiteRabbit · Full-time,Founding Investor & Executive Board Member,Clutch Security · Full-time,Venture Partner,SignalFire · Full-time,Reichman University,"BA, Computer Sceince",,,Enterprise Software,Start-up Environment,Cloud Computing,Software Development,Go-to-market Strategy,5,,,0,7.0,positive,,,,"Co-founded Exabeam, a cybersecurity company valued at $2.4 billion; Led $200 million Series F funding round for Exabeam; Guided Dig Security to acquisition by Palo Alto Networks",L5,"Nir Polak demonstrates strong evidence of being a Growth-Stage Entrepreneur through his founding and scaling of Exabeam, which has achieved significant funding and market position in cybersecurity. As co-founder and former CEO (now Chairman) of Exabeam, he led the company to unicorn status with a $2.4B valuation in 2021 and raised over $390M in total funding. His transition to venture partner at SignalFire and board roles shows continued industry leadership. While this could potentially qualify for L6, being conservative without multiple proven exits or innovations beyond Exabeam, L5 is most appropriate.",0.68
